csvv2;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula 
1, fastsim, central, 2, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:1.19518) : (1.28078)) : (x<50 ? 1.33028:1.37591)) : (x<100 ? (x<80 ? (x<70 ? 1.42273:1.42572) : (1.50446)) : (x<120 ? 1.51437:1.68833))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 1.79768:1.91046) : (1.91548)) : (x<400 ? 2.2945:2.44185)) : (x<800 ? (x<670 ? 2.00596:2.95366) : (x<1000 ? 2.05476:0)))" 
1, fastsim, down, 0, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.935209) : (0.949715)) : (x<50 ? 0.951712:0.951581)) : (x<100 ? (x<80 ? (x<70 ? 0.950749:0.946623) : (0.945004)) : (x<120 ? 0.938727:0.939017))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 0.931569:0.91373) : (0.898826)) : (x<400 ? 0.8743:0.831516)) : (x<800 ? (x<670 ? 0.774957:0.739267) : (x<1000 ? 0.698668:0)))" 
1, fastsim, down, 1, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.899958) : (0.907975)) : (x<50 ? 0.902718:0.896373)) : (x<100 ? (x<80 ? (x<70 ? 0.888983:0.879746) : (0.893179)) : (x<120 ? 0.879463:0.88646))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 0.825797:0.79523) : (0.757643)) : (x<400 ? 0.754234:0.720957)) : (x<800 ? (x<670 ? 0.673953:0.684737) : (x<1000 ? 0.592787:0)))" 
1, fastsim, down, 2, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:1.18641) : (1.27056)) : (x<50 ? 1.29721:1.36092)) : (x<100 ? (x<80 ? (x<70 ? 1.40496:1.404) : (1.48639)) : (x<120 ? 1.49063:1.66241))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 1.75529:1.84222) : (1.828)) : (x<400 ? 2.16116:2.24246)) : (x<800 ? (x<670 ? 1.80678:2.25127) : (x<1000 ? 1.478:0)))" 
1, fastsim, up, 0, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.939028) : (0.953059)) : (x<50 ? 0.955084:0.954778)) : (x<100 ? (x<80 ? (x<70 ? 0.954199:0.950471) : (0.948019)) : (x<120 ? 0.942417:0.942431))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 0.937001:0.926298) : (0.909277)) : (x<400 ? 0.888189:0.858083)) : (x<800 ? (x<670 ? 0.797755:0.780167) : (x<1000 ? 0.748388:0)))" 
1, fastsim, up, 1, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.907273) : (0.915306)) : (x<50 ? 0.913602:0.908834)) : (x<100 ? (x<80 ? (x<70 ? 0.902806:0.900825) : (0.902292)) : (x<120 ? 0.890427:0.897386))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 0.856512:0.818431) : (0.788598)) : (x<400 ? 0.794375:0.769824)) : (x<800 ? (x<670 ? 0.746559:0.830945) : (x<1000 ? 0.785262:0)))" 
1, fastsim, up, 2, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:1.20394) : (1.29101)) : (x<50 ? 1.36335:1.3909)) : (x<100 ? (x<80 ? (x<70 ? 1.4405:1.44743) : (1.52253)) : (x<120 ? 1.53811:1.71425))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 1.84008:1.9787) : (2.00297)) : (x<400 ? 2.42784:2.64125)) : (x<800 ? (x<670 ? 2.20513:3.65606) : (x<1000 ? 2.63152:0)))" 
2, fastsim, central, 0, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.89287) : (0.910357)) : (x<50 ? 0.915531:0.914656)) : (x<100 ? (x<80 ? (x<70 ? 0.912205:0.901973) : (0.896456)) : (x<120 ? 0.890162:0.887632))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 0.870375:0.835596) : (0.782778)) : (x<400 ? 0.714894:0.660875)) : (x<800 ? (x<670 ? 0.55634:0.643053) : (x<1000 ? 0.612952:0)))" 
2, fastsim, central, 1, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.836889) : (0.841375)) : (x<50 ? 0.859122:0.848376)) : (x<100 ? (x<80 ? (x<70 ? 0.852531:0.78664) : (0.804723)) : (x<120 ? 0.79512:0.787876))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 0.74694:0.666651) : (0.640915)) : (x<400 ? 0.552216:0.569873)) : (x<800 ? (x<670 ? 0.491235:0.671264) : (x<1000 ? 0.778622:0)))" 
2, fastsim, central, 2, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:1.09956) : (1.33028)) : (x<50 ? 1.41579:1.55491)) : (x<100 ? (x<80 ? (x<70 ? 1.71985:1.71659) : (1.71414)) : (x<120 ? 1.58065:1.71689))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 1.63403:1.88346) : (1.5724)) : (x<400 ? 2.09758:2.77955)) : (x<800 ? (x<670 ? 1.34654:4.32549) : (x<1000 ? 1.94675:0)))" 
2, fastsim, down, 0, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.890833) : (0.908556)) : (x<50 ? 0.913767:0.91299)) : (x<100 ? (x<80 ? (x<70 ? 0.910366:0.899821) : (0.894908)) : (x<120 ? 0.888287:0.885822))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 0.86758:0.830136) : (0.777536)) : (x<400 ? 0.708288:0.648988)) : (x<800 ? (x<670 ? 0.546124:0.621939) : (x<1000 ? 0.586831:0)))" 
2, fastsim, down, 1, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.830032) : (0.833966)) : (x<50 ? 0.851269:0.839705)) : (x<100 ? (x<80 ? (x<70 ? 0.84279:0.75475) : (0.796059)) : (x<120 ? 0.785251:0.778282))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 0.733608:0.647685) : (0.61606)) : (x<400 ? 0.525293:0.532644)) : (x<800 ? (x<670 ? 0.447392:0.5671) : (x<1000 ? 0.579991:0)))" 
2, fastsim, down, 2, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:1.07877) : (1.29662)) : (x<50 ? 1.37277:1.48822)) : (x<100 ? (x<80 ? (x<70 ? 1.64729:1.63773) : (1.65113)) : (x<120 ? 1.51269:1.6485))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 1.53653:1.71994) : (1.41175)) : (x<400 ? 1.82692:2.16296)) : (x<800 ? (x<670 ? 1.05061:1.77124) : (x<1000 ? 0.768304:0)))" 
2, fastsim, up, 0, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.894907) : (0.912159)) : (x<50 ? 0.917295:0.916321)) : (x<100 ? (x<80 ? (x<70 ? 0.914045:0.904126) : (0.898004)) : (x<120 ? 0.892038:0.889442))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 0.873169:0.841055) : (0.788021)) : (x<400 ? 0.721499:0.672762)) : (x<800 ? (x<670 ? 0.566556:0.664167) : (x<1000 ? 0.639072:0)))" 
2, fastsim, up, 1, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.843745) : (0.848785)) : (x<50 ? 0.866976:0.857046)) : (x<100 ? (x<80 ? (x<70 ? 0.862272:0.818529) : (0.813387)) : (x<120 ? 0.804989:0.79747))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 0.760273:0.685618) : (0.66577)) : (x<400 ? 0.579139:0.607102)) : (x<800 ? (x<670 ? 0.535079:0.775427) : (x<1000 ? 0.977253:0)))" 
2, fastsim, up, 2, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:1.12036) : (1.36395)) : (x<50 ? 1.45881:1.62161)) : (x<100 ? (x<80 ? (x<70 ? 1.79241:1.79546) : (1.77714)) : (x<120 ? 1.64861:1.78528))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 1.73152:2.04698) : (1.73306)) : (x<400 ? 2.36825:3.39614)) : (x<800 ? (x<670 ? 1.64247:6.87973) : (x<1000 ? 3.12521:0)))" 
